PMR2B|S0002446
SIT4|S0002205
Cyh3p|S0002981
YVH1|S0001465
Pcl9p|S0002338
Mak11p|S0001504
Smk1p|S0006258
Gda1p|S0000768
Nrc465p|S0003225
Pac2p|S0000809
HKR1|S0002828
YP2|S0001856
Put3p|S0001498
RLR1|S0005083
CKB1|S0002987
CKB2|S0005565
AAD10|S0003916
Vps10p|S0000113
AAD14|S0005275
AAD15|S0005525
Had1p|S0003786
PCK1|S0001805
Mrp1p|S0002755
YAP80|S0003765
Dal1p|S0001466
Ddr48p|S0004784
GNP1|S0002916
Pac3p|S0004908
Hke1p|S0005574
Put4p|S0005875
Gcs1p|S0002385
HRE556|S0005465
ABP67|S0002536
Dun1p|S0002259
Vps11p|S0004844
Rok1p|S0003139
MLC1|S0003074
PCL1|S0005233
NIF3|S0003189
Mrp2p|S0006370
Nos1p|S0001016
PCL2|S0002285
Dal2p|S0001468
PCL5|S0001113
PCL6|S0000861
PCL7|S0001312
PCL8|S0006140
PCL9|S0002338
BNA1|S0003786
Dun2p|S0005206
SIW9|S0001072
Pth1p|S0005632
Sln1p|S0001409
Gcd1p|S0005786
Ltp1p|S0006277
PCM1|S0000784
Ccl1p|S0006229
Dal3p|S0001471
Taf90p|S0000402
Pac5p|S0003084
VPT10|S0006377
HRE571|S0005455
VPT11|S0004844
VPT13|S0005562
VPT15|S0000301
VPT16|S0005966
VPT17|S0002903
PRO1|S0002708
PRO2|S0005850
VPT18|S0004138
PRO3|S0000825
VPT19|S0002731
DHH1|S0002319
Fun48p|S0000054
Vps13p|S0003963
Sln2p|S0000787
Gcd2p|S0003315
Mrp4p|S0000996
Dal4p|S0001467
Obf1p|S0001595
GNS1|S0000630
VPT21|S0005615
Djp1p|S0001443
VPT24|S0001524
VPT26|S0001709
VPT27|S0005289
VPT28|S0005986
PRP2|S0005294
VPT29|S0004230
HRE589|S0003757
PRP3|S0002881
PRP4|S0006382
Fun49p|S0000056
PRP5|S0000441
PRP6|S0000259
PRP8|S0001208
PRP9|S0002188
Mak16p|S0000023
MLF3|S0005018
Bel1p|S0004722
LOC7|S0004262
Dal5p|S0003913
Pac7p|S0004659
VPT30|S0006041
VPT33|S0004388
HRE594|S0003605
Sap1p|S0000849
FBP1|S0004369
NRF588|S0003221
Tsc1p|S0002469
Vps15p|S0000301
Lpe20p|S0005973
Mpa43p|S0005193
Bel2p|S0005180
Dbi9p|S0004619
Sur1p|S0005978
Pac8p|S0002186
Clp1p|S0005776
Ufe1p|S0005601
Sap2p|S0005675
VAC1|S0002731
Tsc2p|S0004911
Upf1p|S0004685
VAC3|S0004409
SCSAP130|S0004513
VAC5|S0005361
Vps16p|S0005966
KRB1|S0003968
Egd1p|S0005958
VAC7|S0004999
MLH1|S0004777
Mak18p|S0001183
VAC8|S0000739
MLH2|S0004025
NIK1|S0001584
Gcd5p|S0002444
MLH3|S0006085
Lpe21p|S0005972
Mrp7p|S0004950
Rdh54p|S0000277
Dal7p|S0001470
Sur2p|S0002705
Pac9p|S0005552
Dis1p|S0005717
Hsp60p|S0004249
Asg7p|S0003706
LUC10|S0002701
LUC11|S0005996
PRS1|S0001664
HRD888|S0003606
LUC12|S0005082
Sap3p|S0003631
PRS2|S0000901
CKI1|S0004123
Hsl1p|S0001584
PRS3|S0001003
CKI2|S0001177
PRS4|S0000164
PRS5|S0005422
CKI3|S0000925
Dst1p|S0003011
Upf2p|S0001119
Vps17p|S0005658
Cla1p|S0002701
Egd2p|S0001236
SCSAP145|S0004853
NIL1|S0001873
Gcd6p|S0002619
NIL2|S0003646
Mrp8p|S0001625
Aoa108p|S0005491
Pex21p|S0003471
The1p|S0005653
Dis2p|S0000935
Mpg1p|S0002213
AGAL1|S0003764
PRT1|S0005888
RPS101|S0000385
RPS102|S0006011
Sap4p|S0003198
Suc2p|S0001424
Dst2p|S0003141
Trf1p|S0002545
Tsc4p|S0006152
Upf3p|S0003304
Vps18p|S0004138
Cla2p|S0001575
ERV14|S0003022
TSV115|S0000001
SCSAP155|S0004901
Gcd7p|S0004282
NIM2|S0002615
Car1p|S0006032
RPS10A|S0005819
PCS1|S0005785
Rca1p|S0004695
ABC1|S0003087
RPS10B|S0004843
Wtm1p|S0005756
PRTF|S0004646
Stu1p|S0000130
Sur4p|S0004364
YGP1|S0005104
ZDS1|S0004886
Cks1p|S0000339
Fcy1p|S0006266
Dis3p|S0005381
ZDS2|S0004577
KCC4|S0000529
Ycr59p|S0000627
Tsc5p|S0006152
Bna1p|S0003786
KRE1|S0005266
Vps19p|S0002731
ERV25|S0004473
KRE2|S0002891
NIN1|S0001948
KRE5|S0005863
KRE6|S0006363
Car2p|S0004430
PCT1|S0003434
RPS11A|S0002432
ABD1|S0000440
RPS11B|S0000252
Wtm2p|S0005755
CTS1-2|S0004276
KRE9|S0003710
Lic4p|S0002592
Stu2p|S0004035
ERG10|S0005949
VPH1|S0005796
VPH2|S0001602
ERG11|S0001049
Spc19p|S0002609
ERG12|S0004821
ERG13|S0004595
ERG14|S0003407
ARO10|S0002788
VPH6|S0001102
Fcy2p|S0000858
ERG16|S0001049
ERG17|S0001114
Lrg1p|S0002399
SCSAP49|S0005846
ERG18|S0003407
Cac1p|S0006222
ERG19|S0005326
BNI1|S0005215
BNI4|S0005177
BNI5|S0005110
Stf1p|S0007232
Trf3p|S0005032
Cla4p|S0005242
Wtm3p|S0006060
EF1A|S0006284
Cue1p|S0004877
ERG20|S0003703
Bms1p|S0006138
ERG24|S0005224
ERG25|S0003292
ERG26|S0002969
ERG27|S0004090
Cac2p|S0004570
CKM1|S0004886
Hsl5p|S0000364
Stf2p|S0003240
Trf4p|S0005475
Tsc7p|S0002705
Apa1p|S0000555
NIP1|S0004926
ABF1|S0001595
RPS13A|S0000393
RPS13B|S0006002
ABF2|S0004676
RPS13C|S0002858
NIP7|S0006132
Ydc1p|S0006008
Sur7p|S0004516
Qds1p|S0005182
Cac3p|S0000399
Ynd1p|S0000807
Trf5p|S0005243
Tsc8p|S0005364
Apa2p|S0002938
Nup120p|S0001540
Cla6p|S0002915
Aad10p|S0003916
RPS14A|S0000627
RPS14B|S0003727
Aos1p|S0006384
Van1p|S0004583
PRY1|S0003615
PRY2|S0001721
PRY3|S0003614
Hsl7p|S0000337
Ayt1p|S0003986
Ssi1p|S0001556
Kap60p|S0005133
Tsc9p|S0005274
Aer2p|S0000680
Mdl1p|S0004178
Mei4p|S0001954
Cth1p|S0002558
VPL1|S0001709
Gtb501p|S0003812
VPL3|S0002903
VPL4|S0006377
VPL5|S0004015
Van2p|S0003193
VPL6|S0005562
VPL7|S0004230
VPL8|S0000002
VPL9|S0004844
DHS1|S0005559
Ppt1p|S0003355
MLP1|S0001803
MLP2|S0001411
LOM3|S0001405
Rag1p|S0001134
Wrs1p|S0005457
RPS16A|S0004751
RPS16B|S0002241
Mdl2p|S0006191
Mei5p|S0006042
Cth2p|S0004126
Ycf1p|S0002542
Pfs2p|S0005261
Ppt2p|S0006069
Pfd1p|S0003715
NIT1|S0001426
Trs130p|S0004831
NIT2|S0003662
RPS17A|S0004486
NIT3|S0004343
RPS17B|S0002855
LIGTR|S0003623
Pzf1p|S0006390
RMA1|S0001615
Srl1p|S0005773
Und327p|S0005362
Ssu71p|S0003418
VAM1|S0004844
HRA271|S0003746
Ort1p|S0005656
VAM2|S0002487
VAM3|S0005632
Fap1p|S0004968
VAM4|S0004460
VAM5|S0004388
VAM6|S0002235
Aad14p|S0005275
VAM7|S0003180
VAM8|S0004138
Pfd2p|S0000729
VAM9|S0005966
Gsc1p|S0004334
RPS18A|S0002858
RPS18B|S0004488
